2025-05-06 14:01:30,310 - INFO - Ready for training......
2025-05-06 14:01:30,310 - INFO - Running on device cuda
2025-05-06 14:08:23,698 - INFO - True: ginger          | Predicted: cumin
2025-05-06 14:08:23,698 - INFO - True: ginger          | Predicted: cumin
2025-05-06 14:08:23,698 - INFO - True: ginger          | Predicted: cumin
2025-05-06 14:08:23,698 - INFO - True: ginger          | Predicted: cumin
2025-05-06 14:08:23,698 - INFO - True: ginger          | Predicted: cumin
2025-05-06 14:08:23,698 - INFO - True: ginger          | Predicted: cumin
2025-05-06 14:08:23,698 - INFO - True: ginger          | Predicted: cumin
2025-05-06 14:08:23,698 - INFO - True: brazil_nut      | Predicted: pili_nut
2025-05-06 14:08:23,699 - INFO - True: brazil_nut      | Predicted: pili_nut
2025-05-06 14:08:23,699 - INFO - True: brazil_nut      | Predicted: pili_nut
2025-05-06 14:08:23,699 - INFO - True: brazil_nut      | Predicted: pili_nut
2025-05-06 14:08:23,699 - INFO - True: brazil_nut      | Predicted: pili_nut
2025-05-06 14:08:23,699 - INFO - True: brazil_nut      | Predicted: pili_nut
2025-05-06 14:08:23,699 - INFO - True: brazil_nut      | Predicted: chervil
2025-05-06 14:08:23,699 - INFO - True: brazil_nut      | Predicted: chervil
2025-05-06 14:08:23,699 - INFO - True: brazil_nut      | Predicted: chervil
2025-05-06 14:08:23,699 - INFO - True: walnuts         | Predicted: peanuts
2025-05-06 14:08:23,699 - INFO - True: walnuts         | Predicted: peanuts
2025-05-06 14:08:23,699 - INFO - True: walnuts         | Predicted: peanuts
2025-05-06 14:08:23,699 - INFO - True: walnuts         | Predicted: peanuts
2025-05-06 14:08:23,699 - INFO - True: walnuts         | Predicted: peanuts
2025-05-06 14:08:23,699 - INFO - True: walnuts         | Predicted: peanuts
2025-05-06 14:08:23,699 - INFO - True: walnuts         | Predicted: peanuts
2025-05-06 14:08:23,699 - INFO - True: walnuts         | Predicted: peanuts
2025-05-06 14:08:23,699 - INFO - True: walnuts         | Predicted: peanuts
2025-05-06 14:08:23,699 - INFO - True: oregano         | Predicted: cumin
2025-05-06 14:08:23,699 - INFO - True: oregano         | Predicted: cumin
2025-05-06 14:08:23,699 - INFO - True: oregano         | Predicted: cumin
2025-05-06 14:08:23,699 - INFO - True: oregano         | Predicted: cumin
2025-05-06 14:08:23,699 - INFO - True: oregano         | Predicted: cumin
2025-05-06 14:08:23,699 - INFO - True: oregano         | Predicted: cumin
2025-05-06 14:08:23,699 - INFO - True: oregano         | Predicted: cumin
2025-05-06 14:08:23,699 - INFO - True: oregano         | Predicted: cumin
2025-05-06 14:08:23,699 - INFO - True: oregano         | Predicted: cumin
2025-05-06 14:08:23,699 - INFO - True: cabbage         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: cabbage         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: cabbage         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: cabbage         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: cabbage         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: cabbage         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: cabbage         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: cabbage         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: cabbage         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: mustard         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: mustard         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: mustard         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: mustard         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: mustard         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: mustard         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: mustard         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: mustard         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: mustard         | Predicted: cabbage
2025-05-06 14:08:23,699 - INFO - True: chamomile       | Predicted: brussel_sprouts
2025-05-06 14:08:23,699 - INFO - True: chamomile       | Predicted: brussel_sprouts
2025-05-06 14:08:23,699 - INFO - True: chamomile       | Predicted: brussel_sprouts
2025-05-06 14:08:23,699 - INFO - True: chamomile       | Predicted: brussel_sprouts
2025-05-06 14:08:23,699 - INFO - True: chamomile       | Predicted: brussel_sprouts
2025-05-06 14:08:23,699 - INFO - True: chamomile       | Predicted: brussel_sprouts
2025-05-06 14:08:23,700 - INFO - True: chamomile       | Predicted: brussel_sprouts
2025-05-06 14:08:23,700 - INFO - True: chamomile       | Predicted: brussel_sprouts
2025-05-06 14:08:23,700 - INFO - True: chamomile       | Predicted: brussel_sprouts
2025-05-06 14:08:23,700 - INFO - True: tomato          | Predicted: tomato
2025-05-06 14:08:23,700 - INFO - True: tomato          | Predicted: tomato
2025-05-06 14:08:23,700 - INFO - True: tomato          | Predicted: tomato
2025-05-06 14:08:23,700 - INFO - True: tomato          | Predicted: tomato
2025-05-06 14:08:23,700 - INFO - True: tomato          | Predicted: tomato
2025-05-06 14:08:23,700 - INFO - True: tomato          | Predicted: tomato
2025-05-06 14:08:23,700 - INFO - True: tomato          | Predicted: tomato
2025-05-06 14:08:23,700 - INFO - True: tomato          | Predicted: tomato
2025-05-06 14:08:23,700 - INFO - True: tomato          | Predicted: tomato
2025-05-06 14:08:23,700 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 14:08:23,700 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 14:08:23,700 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 14:08:23,700 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 14:08:23,700 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 14:08:23,700 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 14:08:23,700 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 14:08:23,700 - INFO - True: broccoli        | Predicted: broccoli
2025-05-06 14:08:23,700 - INFO - True: broccoli        | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: banana          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: banana          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: banana          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: banana          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: banana          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: banana          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: banana          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: banana          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: banana          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: garlic          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: garlic          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: garlic          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: garlic          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: garlic          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: garlic          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: garlic          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: garlic          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: garlic          | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: coriander       | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: coriander       | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: coriander       | Predicted: cumin
2025-05-06 14:08:23,700 - INFO - True: coriander       | Predicted: cumin
